HourRange,TotalPassengerCount,AverageWait
0500 - 0600,1098,23
0600 - 0700,3104,38
0700 - 0800,460,49
0800 - 0900,2247,42
0900 - 1000,1510,48
1000 - 1100,1114,25
1100 - 1200,1880,31
1200 - 1300,2702,45
1300 - 1400,2254,41
1400 - 1500,942,29
1500 - 1600,930,13
1600 - 1700,1932,15
1700 - 1800,914,12
1800 - 1900,1962,16
1900 - 2000,1503,14
2000 - 2100,1572,16
2100 - 2200,1660,19
2200 - 2300,1342,17
2300 - 0000,174,8
0500 - 0600,1320,33
0600 - 0700,2364,29
0700 - 0800,1686,20
0800 - 0900,2063,28
0900 - 1000,933,22
1000 - 1100,1842,14
1100 - 1200,1512,11
1200 - 1300,2061,17
1300 - 1400,1856,20
1400 - 1500,1205,10
1500 - 1600,1919,12
1600 - 1700,1697,12
1700 - 1800,1428,12
1800 - 1900,1316,10
1900 - 2000,2829,24
2000 - 2100,1828,22
2100 - 2200,1671,20
2200 - 2300,1085,14
2300 - 0000,142,3
0500 - 0600,1593,37
0600 - 0700,2712,34
0700 - 0800,1034,26
0800 - 0900,1356,44
0900 - 1000,1645,43
1000 - 1100,1944,26
1100 - 1200,2293,29
1200 - 1300,1855,33
1300 - 1400,2344,28
1400 - 1500,1491,22
1500 - 1600,862,13
1600 - 1700,1440,8
1700 - 1800,2190,24
1800 - 1900,3496,30
1900 - 2000,954,34
2000 - 2100,1665,18
2100 - 2200,1729,17
2200 - 2300,1284,17
2300 - 0000,431,11
0500 - 0600,1254,33
0600 - 0700,2581,28
0700 - 0800,2265,36
0800 - 0900,1467,45
0900 - 1000,1503,27
1000 - 1100,1220,17
1100 - 1200,1711,19
1200 - 1300,2303,15
1300 - 1400,3168,27
1400 - 1500,1836,20
1500 - 1600,1086,12
1600 - 1700,1152,13
1700 - 1800,2162,11
1800 - 1900,2419,17
1900 - 2000,2148,20
2000 - 2100,949,13
2100 - 2200,1795,15
2200 - 2300,1519,16
0500 - 0600,1258,14
0600 - 0700,2840,17
0700 - 0800,1895,15
0800 - 0900,2326,39
0900 - 1000,1250,27
1000 - 1100,1735,16
1100 - 1200,1355,14
1200 - 1300,2965,17
1300 - 1400,2440,21
1400 - 1500,2052,21
1500 - 1600,2251,15
1600 - 1700,700,14
1700 - 1800,2084,11
1800 - 1900,3046,17
1900 - 2000,1773,24
2000 - 2100,1588,15
2100 - 2200,1149,13
2200 - 2300,1855,19
2300 - 0000,180,18
0500 - 0600,2093,29
0600 - 0700,2220,32
0700 - 0800,2111,21
0800 - 0900,1803,35
0900 - 1000,1997,34
1000 - 1100,1182,17
1100 - 1200,1816,15
1200 - 1300,2061,18
1300 - 1400,3169,21
1400 - 1500,1173,21
1500 - 1600,1642,12
1600 - 1700,1032,12
1700 - 1800,845,12
1800 - 1900,2658,23
1900 - 2000,2081,33
2000 - 2100,1042,13
2100 - 2200,1428,16
2200 - 2300,1632,27
2300 - 0000,374,21
0500 - 0600,647,22
0600 - 0700,3269,19
0700 - 0800,1386,15
0800 - 0900,1599,25
0900 - 1000,1186,17
1000 - 1100,1272,14
1100 - 1200,1607,13
1200 - 1300,1589,10
1300 - 1400,2131,20
1400 - 1500,2395,18
1500 - 1600,1990,16
1600 - 1700,833,11
1700 - 1800,711,9
1800 - 1900,1960,19
1900 - 2000,2441,36
2000 - 2100,526,21
2100 - 2200,1261,19
2200 - 2300,1028,22
2300 - 0000,761,22
0500 - 0600,655,21
0600 - 0700,3098,20
